Dataset,median,min,max,mean,std
D7PM05_CLYGR_Somermeyer_2022_all,0.46499999999999997,0.02,0.68,0.4061538461538462,0.22125237938746647
D7PM05_CLYGR_Somermeyer_2022_1std,0.29,0.01,0.47,0.25923076923076926,0.14293839447602807
D7PM05_CLYGR_Somermeyer_2022_2std,0.13,0.0,0.32,0.15076923076923077,0.10840380350976904
F7YBW8_MESOW_Aakre_2015_all,0.375,0.01,0.45,0.2776923076923077,0.17081704112430215
F7YBW8_MESOW_Aakre_2015_1std,0.46,0.07,0.67,0.39538461538461545,0.1783755761135648
F7YBW8_MESOW_Aakre_2015_2std,0.445,0.16,0.61,0.3984615384615384,0.14529121949222693
GFP_AEQVI_Sarkisyan_2016_all,0.61,0.04,0.71,0.5126923076923077,0.2296006566594737
GFP_AEQVI_Sarkisyan_2016_1std,0.275,0.0,0.55,0.24461538461538462,0.1794933039248154
GFP_AEQVI_Sarkisyan_2016_2std,0.19,0.0,0.62,0.24846153846153846,0.2203759026335195
